,ageGroup,height,weight,bodyFat
5,1,161.0,78.0,22.6
60,1,168.9,89.0,29.0
102,1,170.2,90.4,18.4
103,1,170.2,98.0,20.8
143,1,171.7,97.5,23.4
193,1,173.0,95.0,31.0
211,1,173.9,91.5,37.3
263,1,175.5,100.6,26.3
283,1,176.1,98.2,30.4
308,1,177.0,98.0,25.4
310,1,177.2,98.2,22.1
334,1,178.0,96.5,24.7
392,1,181.2,98.5,24.7
407,1,182.2,122.5,21.2
689,1,166.7,88.3,32.3
757,2,167.1,85.7,22.9
824,2,172.4,99.2,26.1
827,2,172.8,91.5,26.6
930,2,178.4,101.0,29.3
977,2,181.2,101.5,20.4
995,2,184.3,109.5,31.2
1006,2,187.5,120.5,30.5
1008,2,189.5,119.2,28.2
1102,2,162.9,91.0,37.1
1118,2,165.4,88.3,35.5
1153,3,151.6,74.1,16.7
1154,3,151.6,89.5,26.0
1155,3,152.0,86.0,13.2
1156,3,152.1,74.9,17.9
1160,3,156.5,93.7,19.8
1161,3,157.4,78.4,17.6
1164,3,159.3,79.2,17.6
1165,3,159.9,80.1,16.5
1166,3,160.4,87.8,20.6
1170,3,161.9,98.1,25.0
1172,3,162.6,81.0,30.3
1178,3,165.6,88.3,18.6
1203,3,169.0,88.4,21.4
1226,3,170.3,90.4,24.7
1229,3,170.5,88.7,24.7
1243,3,171.0,93.4,26.1
1261,3,172.0,96.0,21.8
1285,3,173.0,92.1,25.9
1301,3,174.0,91.0,21.4
1323,3,175.0,98.7,25.5
1342,3,176.0,96.0,25.5
1372,3,177.9,97.0,22.8
1390,3,178.2,95.6,33.0
1422,3,180.4,97.9,11.3
1467,3,184.7,110.0,27.6
1489,3,151.8,78.6,29.7
1679,4,157.9,77.8,20.8
1690,4,164.0,87.0,23.0
1698,4,165.3,82.6,18.8
1699,4,165.5,89.9,27.1
1758,4,170.2,87.6,26.6
1759,4,170.5,91.0,30.8
1761,4,170.6,90.1,19.0
1790,4,172.3,92.0,21.4
1795,4,172.4,94.0,18.9
1866,4,176.2,103.0,27.7
1899,4,177.5,96.3,24.9
1923,4,178.6,110.4,23.3
1934,4,180.0,102.0,16.9
2026,4,156.5,81.3,45.0
2065,4,160.5,78.0,40.9
2176,5,164.0,80.6,19.1
2177,5,164.4,81.3,28.1
2187,5,166.0,90.2,25.1
2188,5,166.0,90.2,26.4
2312,5,174.8,95.1,15.3
2349,5,176.9,94.6,15.4
2574,5,163.8,88.0,40.6
2656,6,165.6,83.6,26.6
2680,6,167.0,87.0,20.0
2732,6,169.2,92.7,18.8
2836,6,175.5,94.0,17.6
2861,6,177.4,98.6,22.6
3041,6,163.8,84.7,34.4
3090,7,160.8,80.4,26.1
3097,7,162.0,92.0,24.0
3145,7,166.4,86.7,29.2
3193,7,169.6,89.7,19.4
3202,7,170.0,93.0,22.5
3207,7,170.4,88.1,26.0
3233,7,172.0,90.1,29.9
3234,7,172.0,90.4,25.4
3235,7,172.0,92.3,26.2
3383,7,155.0,83.0,40.9
3386,7,155.6,80.4,35.0
3453,7,162.8,86.6,32.4
3558,8,167.6,85.1,21.5
3643,8,173.6,94.6,21.0
3693,8,150.8,70.3,37.6
3719,8,153.5,74.0,30.3
3749,8,156.0,87.0,26.5
3759,8,157.0,75.4,20.9
3798,8,160.5,86.2,40.8
3822,8,163.1,93.8,40.5
3898,9,168.0,90.0,32.5
3958,9,150.4,72.4,31.9
3969,9,152.6,75.8,38.8
3981,9,154.2,71.6,40.0
3992,9,156.0,73.0,43.4
