지점,지점명,일시,평균기온,최저기온,최고기온,평균 상대습도
101,춘천,2020-09-01,25.9,21.9,30.8,76.5
101,춘천,2020-09-02,24.1,23.2,25.1,92.9
101,춘천,2020-09-03,23,20.7,25.9,74.3
101,춘천,2020-09-04,22.4,17.8,27.3,67.5
101,춘천,2020-09-05,20.6,16.3,25.6,82
101,춘천,2020-09-06,20.2,18.4,23.8,83.4
101,춘천,2020-09-07,19.6,16.5,22.9,84.1
101,춘천,2020-09-08,22.8,18.6,26.8,66
101,춘천,2020-09-09,19.9,18.1,25.8,87.6
101,춘천,2020-09-10,21.1,17.7,26.6,82.9
101,춘천,2020-09-11,21.3,17.2,26.7,75.8
101,춘천,2020-09-12,19.4,17.9,22.7,86.3
101,춘천,2020-09-13,20.5,16.2,26,76.4
101,춘천,2020-09-14,20.8,17.1,26,81.4
101,춘천,2020-09-15,21.7,17.9,27.6,80.9
101,춘천,2020-09-16,20.9,19.8,24.3,91.5
101,춘천,2020-09-17,19.6,16.2,22.8,79.8
101,춘천,2020-09-18,18.4,14.3,25.1,77.8
101,춘천,2020-09-19,17.6,13.3,25.5,76
101,춘천,2020-09-20,16.8,10.5,24.3,68
101,춘천,2020-09-21,16.2,10.4,24.2,73.3
101,춘천,2020-09-22,17.2,11.1,24,71
101,춘천,2020-09-23,16.8,12.1,21,71.5
101,춘천,2020-09-24,18.1,13.9,23.2,71.3
101,춘천,2020-09-25,17.8,13.7,22.4,73.4
101,춘천,2020-09-26,16.9,12.8,22,75.9
101,춘천,2020-09-27,17.7,11.4,25.2,77
101,춘천,2020-09-28,17.9,13.6,25.9,79.3
101,춘천,2020-09-29,16.8,13.1,22.6,85
101,춘천,2020-09-30,17.9,13.6,22.2,78.4
108,서울,2020-09-01,26.6,23.8,29.5,72.4
108,서울,2020-09-02,24.3,22.6,26.4,91.3
108,서울,2020-09-03,22.7,20,25.6,82
108,서울,2020-09-04,23.3,19.9,27.5,63.9
108,서울,2020-09-05,23.3,19.2,27.3,66.6
108,서울,2020-09-06,21.7,19.5,24.4,80
108,서울,2020-09-07,19.2,17.5,20.6,93.5
108,서울,2020-09-08,23.4,20.6,26.5,71.5
108,서울,2020-09-09,21.1,19,25.3,83.4
108,서울,2020-09-10,22.8,18.8,27,75.8
108,서울,2020-09-11,22.4,19.2,27.1,72.6
108,서울,2020-09-12,20.2,18.1,23.2,83.8
108,서울,2020-09-13,21.5,16.7,26.6,70.4
108,서울,2020-09-14,21.3,17.6,24.9,79.3
108,서울,2020-09-15,23,18.9,27.7,76.4
108,서울,2020-09-16,22.5,21.3,24.9,79.9
108,서울,2020-09-17,21.3,20.1,23.6,70.3
108,서울,2020-09-18,21.5,18.1,25.8,62
108,서울,2020-09-19,21.2,17.6,26.2,59.3
108,서울,2020-09-20,19.7,15.6,24.9,57.6
108,서울,2020-09-21,19.1,13.6,25.3,56.1
108,서울,2020-09-22,20.2,15.5,25.6,55.3
108,서울,2020-09-23,19.2,15.2,23.8,59.9
108,서울,2020-09-24,20.6,16.8,25.4,59.6
108,서울,2020-09-25,20.1,16.6,25.4,64.1
108,서울,2020-09-26,19.3,14.8,24.8,62.5
108,서울,2020-09-27,20.4,14.9,25.8,63.3
108,서울,2020-09-28,20.7,15.7,26.5,66
108,서울,2020-09-29,19.6,15.3,23.9,67.6
108,서울,2020-09-30,19.6,16.2,25.7,78
